Table|Column|TypeName|Type|Scale|IsNullable|DefaultValue|IsRowVersion|IsAutoIncrement|Primary
0|0|INTEGER|4||0|||true|true
0|1|VARCHAR|12|256|1|NULL|||
0|2|VARCHAR|12|320|0||||
0|3|VARCHAR|12|78|0||||
0|4|VARCHAR|12|512|0||||
0|5|VARCHAR|12|512|1|NULL|||
0|6|VARCHAR|12|512|1|NULL|||
0|7|VARCHAR|12|512|1|NULL|||
0|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
0|19|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|8|INTEGER|4||0|||true|true
1|0|INTEGER|4||0||||
1|9|VARCHAR|12|320|0||||
1|10|VARCHAR|12|256|1|NULL|||
1|11|VARCHAR|12|256|1|NULL|||
1|12|SMALLINT|5||0|0|||
1|13|VARCHAR|12|256|1|NULL|||
1|14|VARCHAR|12|256|1|NULL|||
1|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|19|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
2|0|INTEGER|4||0||||
2|15|VARCHAR|12|512|0||||
2|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
2|19|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
3|0|INTEGER|4||0||||
3|16|VARCHAR|12|512|0||||
3|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
3|19|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
4|0|INTEGER|4||0||||
4|17|VARCHAR|12|512|0||||
4|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
4|19|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
